manuscript_id	original_plot_filename	source_script	source_line	export_evidence
Fig. 5e	TP_Latency_associaiton_exposure.pdf	TP_Comparision.R	3489	ggsave(filename = 'TP_Latency_associaiton_exposure.pdf',width = 6,height = 3.5,device = cairo_pdf)
Fig. 5f	TP_latency_drivergenes_association.pdf	TP_Comparision.R	3553	ggsave(file='TP_latency_drivergenes_association.pdf',width = 6,height = 4,device = cairo_pdf)
Fig. 5g	TP_MRCA_drivergenes_association.pdf	TP_Comparision.R		No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Fig. 6a	tp_age_clock_mutation_acc.pdf	Segmented_breakpoint_analysis.R	107	ggsave(filename = 'tp_age_clock_mutation_acc.pdf',width = 12,height = 5,device = cairo_pdf)
Fig. 6b	tp_age_clock_mutation_acc.pdf	Segmented_breakpoint_analysis.R	107	ggsave(filename = 'tp_age_clock_mutation_acc.pdf',width = 12,height = 5,device = cairo_pdf)
Extended Data Fig. 1	TP_genomic_alterations2_final_tmp.pdf	TP_Comparision.R	705	"output_file = ""TP_genomic_alterations2_final_tmp.pdf"","
Extended Data Fig. 2a	tp_tumor_hetrogenerity_math_ccf_drivers.pdf	TP_Comparision.R	2513	ggsave(filename = 'tp_tumor_hetrogenerity_math_ccf_drivers.pdf',width = 8,height = 5,device = cairo_pdf())
Extended Data Fig. 2b	tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	TP_Comparision.R	2534	ggsave(filename = 'tp_tumor_hetrogenerity_math_ccf_drivers2.pdf',width = 11,height = 8,device = cairo_pdf())
Extended Data Fig. 3a	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Extended Data Fig. 3b	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Extended Data Fig. 4a	TP_mrca_group_braf_tert.pdf	TP_Comparision.R	3434	"output_file = ""TP_mrca_group_braf_tert.pdf"",   # omit to just get the plot object"
Extended Data Fig. 4b	age_tert_braf.pdf	TP_Comparision.R	3033	"output_file = ""age_tert_braf.pdf"","
Extended Data Fig. 4c	tp_apobec_braf_tert.pdf	TP_Comparision.R	1691	ggsave(filename = 'tp_apobec_braf_tert.pdf',width = 5,height = 5,device = cairo_pdf())
Supplementary Fig. 1a	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Supplementary Fig. 1b	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Supplementary Fig. 1c	TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Supplementary Fig. 2	drivers_minCCF.pdf			No exact literal export; see reviewed dynamic/related/native trace and source_code_location.
Supplementary Fig. 3a	tp_tumor_hetrogenerity_math_ccf_drivers.pdf	TP_Comparision.R	2513	ggsave(filename = 'tp_tumor_hetrogenerity_math_ccf_drivers.pdf',width = 8,height = 5,device = cairo_pdf())
Supplementary Fig. 3b	tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	TP_Comparision.R	2534	ggsave(filename = 'tp_tumor_hetrogenerity_math_ccf_drivers2.pdf',width = 11,height = 8,device = cairo_pdf())
