inventory_id	figure_id	panel_id	manuscript_figure_panel_id	canonical_figure_panel_id	keynote_slide	keynote_object_id	keynote_data_id	original_plot_filename	keynote_package_file	embedded_sha256	object_geometry_xywh	panel_label_object_id	panel_label_xy	plot_region	mapping_confidence	asset_type	evidence_file	notes
ms011	Fig. 2	b	Fig. 2b	Figure 2B	3	1283257	12471	heatmap_all_segements_chr22qdel.pdf	heatmap_all_segements_chr22qdel-12471.pdf	b079e5bceab288718512b402059ccf50f3155eecae66d5509115ce9d859c1c00	482.5306091308594;100.6889877319336;100.16239929199219;193.851318359375	878254	465.374755859375;76.18800354003906	entire imported object	High	imported PDF	Private native Keynote PDF page 3; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms012	Fig. 2	c	Fig. 2c	Figure 2C	3	1298923	12491	TP_chr22q_del_subclone_frac.pdf	TP_chr22q_del_subclone_frac-12491.pdf	2fab80b7ac1d8cd0bfa7f56d366807165191e103e5a51fee4b87c27bdb6bf38c	58.66586685180664;334.3760070800781;193.851318359375;193.851318359375	878248	45.58461380004883;329.0716552734375	entire imported object	High	imported PDF	Private native Keynote PDF page 3; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms013	Fig. 2	d	Fig. 2d	Figure 2D	3	1353120	13409	chr22q_del_clonality_alterations.pdf	chr22q_del_clonality_alterations-13409.pdf	7f1fbc220c97ca372f1650385e084858cbc927bc2f3982a65f61fca42035ff9f	242.73963928222656;313.99249267578125;351.927490234375;234.61831665039062	878204	269.0130920410156;329.0716552734375	entire imported object	High	imported PDF	Private native Keynote PDF page 3; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms014	Fig. 3	a	Fig. 3a	Figure 3A	4	1303194	12921	tp_tumor_hetrogenerity_math_ccf2.pdf	tp_tumor_hetrogenerity_math_ccf2-12921.pdf	bf539bd79b91790a151a6a0ec964fb299421da6a0799f072c8b6c026faf70753	50.38068389892578;98.73335266113281;221.91061401367188;133.14637756347656	877891	61.88817596435547;63.98963165283203	entire imported object	High	imported PDF	Private native Keynote PDF page 4; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms015	Fig. 3	b	Fig. 3b	Figure 3B	4	1305162	12946	tp_tumor_hetrogenerity_math_ccf_drivers_all.pdf	tp_tumor_hetrogenerity_math_ccf_drivers_all-12946.pdf	cda7250b7ee0f4ad033a94c92a4f719f3dac128555c6f7b59674426114ddbbd6	293.59942626953125;94.96653747558594;266.0744323730469;159.6446533203125	877924	295.1643371582031;72.35162353515625	entire imported object	High	imported PDF	Private native Keynote PDF page 4; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms016	Fig. 3	c	Fig. 3c	Figure 3C	4	1305537	12952	tp_tumor_hetrogenerity_math_ccf_drivers2_all.pdf	tp_tumor_hetrogenerity_math_ccf_drivers2_all-12952.pdf	6ac06b654b9c04c049eae23ac437493597a5cdc94a38ad1d560ff9cb8cdd092b	47.556026458740234;252.97396850585938;298.899658203125;191.80726623535156	1314974	47.734474182128906;260.3425598144531	entire imported object	High	imported PDF	Private native Keynote PDF page 4; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms017	Fig. 3	d	Fig. 3d	Figure 3D	4	1285819	12575	NRPCC_threshold.pdf	NRPCC_threshold-12575.pdf	5f88bb237f92568492a097674a11bd04e514724493f5424c8e53c624cd8d485b	58.19697189331055;456.69549560546875;251.04122924804688;202.63417053222656	877874	47.734474182128906;443.7173767089844	entire imported object	High	imported PDF	Private native Keynote PDF page 4; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms018	Fig. 3	e	Fig. 3e	Figure 3E	4	1285891	12583	drivers_number_subclones.pdf	drivers_number_subclones-12583.pdf	ba02569e5a10be4ef00307b347ebfa15354d3703410c7e1c5284be71123afcea	306.7383117675781;434.5381774902344;261.2989196777344;261.2989196777344	877901	298.9736022949219;443.7173767089844	entire imported object	High	imported PDF	Private native Keynote PDF page 4; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms019	Fig. 4	a	Fig. 4a	Figure 4A	5	1286060	12596	TP_mutation_cluster_distribution.pdf	TP_mutation_cluster_distribution-12596.pdf	370ac14ecd84d30b51042783fe623ab57c0b3fbdd43699305bb01fb91d0e65aa	24.46942710876465;87.7485580444336;233.26202392578125;155.50799560546875	1104338	38.72752380371094;47.456298828125	entire imported object	High	imported PDF	Private native Keynote PDF page 5; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms020	Fig. 4	b	Fig. 4b	Figure 4B	5	1286112	12602	TP_mutation_cluster_clonality.pdf	TP_mutation_cluster_clonality-12602.pdf	b11972b079d7e32c0f87e3c4c41792e6bc92904fe837a29ffb86c585f9394b22	259.6122131347656;78.02930450439453;349.89300537109375;174.94650268554688	1104320	313.5679626464844;47.456298828125	entire imported object	High	imported PDF	Private native Keynote PDF page 5; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms021	Fig. 4	c	Fig. 4c	Figure 4C	5	1286201	12611	TP_largesubclonal_association.pdf	TP_largesubclonal_association-12611.pdf	fd30ab53a20209c2264a545275dc97cf4617f16b4e487af707818491531fc9e3	43.27211380004883;263.8848876953125;204.88877868652344;136.59251403808594	1104335	26.47111701965332;257.5019226074219	entire imported object	High	imported PDF	Private native Keynote PDF page 5; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms022	Fig. 4	d	Fig. 4d	Figure 4D	5	1286256	12617	TP_largesubclonal_association2.pdf	TP_largesubclonal_association2-12617.pdf	341d35e07f6fc647f4a3cb1a803ddd548c41da1e214070cde36e51b13944afdf	248.09732055664062;257.5019226074219;349.89300537109375;155.50799560546875	1104330	242.8655548095703;257.5019226074219	entire imported object	High	imported PDF	Private native Keynote PDF page 5; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms023	Fig. 4	e	Fig. 4e	Figure 4E	5	1317724;1317726;1317758;1317725;1317770;1317774;1317790;1317825;1317817;1317755;1317809;1317804;1317759;1317819;1317745;1317811;1317739;1317729;1317732;1317749;1317756					;;;	1104345	32.17790603637695;442.5501708984375	two native schematic groups	High	native Keynote schematic	Private native Keynote PDF page 5; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Native Keynote schematic made of editable shapes, lines and text in top-level groups 1317724 and 1317726. No imported plot file exists for this panel; absence is established by exhaustive image inventory.
ms024	Fig. 5	a	Fig. 5a	Figure 5A	6	1284819	12535	TP_genomiclandscape_associaiton.pdf	TP_genomiclandscape_associaiton-12535.pdf	40f8fda3d40cfaee4a7826fe770f2ae7f351d26785c8eb878ec82ad1cbdf5a33	41.073760986328125;80.18231964111328;233.2988739013672;167.59536743164062	877726	33.47821044921875;62.98787307739258	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms025	Fig. 5	b	Fig. 5b	Figure 5B	6	1284893	12549	age_tert.pdf	age_tert-12549.pdf	4d5c7df2db96dbf304e0ece7876799aeb0f1531faafada68380645671bf0092f	281.75030517578125;72.17646789550781;160.0;105.93338012695312	877759	260.8033447265625;62.98787307739258	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms026	Fig. 5	c	Fig. 5c	Figure 5C	6	1284891	12546	age_braf.pdf	age_braf-12546.pdf	901507779af4de81eee2adc6700642dfd9f754caa5bbcd08a5047af36e0b41ba	449.1280212402344;72.5775375366211;160.0;105.13123321533203	877753	438.4272766113281;62.98787307739258	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms027	Fig. 5	d	Fig. 5d	Figure 5D	6	1284892	12543	age_fusion.pdf	age_fusion-12543.pdf	03c5d7622af70574e5e121c4820b8b680b6756020887790e74a55716cda0bc26	375.12939453125;189.16065979003906;160.0;105.13123321533203	877709	359.2114562988281;189.16065979003906	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms028	Fig. 5	e	Fig. 5e	Figure 5E	6	1310742	12625	TP_Latency_associaiton_exposure.pdf	TP_Latency_associaiton_exposure-12625.pdf	59f3e575ce65df9ffcce9540ff4849e5e0251ca60f3de5d1554e3f853f0aa0ba	12.570415496826172;294.02301025390625;270.8067321777344;157.97059631347656	1275450	28.102645874023438;305.34271240234375	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms029	Fig. 5	f	Fig. 5f	Figure 5F	6	1310743	12632	TP_latency_drivergenes_association.pdf	TP_latency_drivergenes_association-12632.pdf	ee22b9c4be02cc9feba6826a4507b1f5b5770f0ae8f1b69bd326357ec6cd879b	283.0618896484375;305.7311096191406;295.6336975097656;197.089111328125	1276807	284.5372009277344;305.34271240234375	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms030	Fig. 5	g	Fig. 5g	Figure 5G	6	1310744	12638	TP_MRCA_drivergenes_association.pdf	TP_MRCA_drivergenes_association-12638.pdf	a35662d209e4f1d1ed3e3f6d1841b029d46fc6791c6647d949987e29320d49ce	53.44852066040039;514.677978515625;295.6336669921875;197.089111328125	1276884	33.47821044921875;504.8923645019531	entire imported object	High	imported PDF	Private native Keynote PDF page 6; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms031	Fig. 6	a	Fig. 6a	Figure 6A	7	1288144	12645	tp_age_clock_mutation_acc.pdf	tp_age_clock_mutation_acc-12645.pdf	371f9271f75d41e51c16cc461cc98a3cbc9c5c7db984d124e2d1d6abc7795636	46.38351058959961;100.3957290649414;491.45318603515625;204.7721710205078	1342373	52.28098678588867;78.15139770507812	left half	High	imported PDF	Private native Keynote PDF page 7; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF. The same composite PDF object contains both panels: a is left TCGA segmented regression; b is right Chornobyl linear regression. Author confirmed in this session that both panels came from one file and panel labels a/b were added manually in Keynote; this is intentional, not a mapping conflict.
ms032	Fig. 6	b	Fig. 6b	Figure 6B	7	1288144	12645	tp_age_clock_mutation_acc.pdf	tp_age_clock_mutation_acc-12645.pdf	371f9271f75d41e51c16cc461cc98a3cbc9c5c7db984d124e2d1d6abc7795636	46.38351058959961;100.3957290649414;491.45318603515625;204.7721710205078	1342377	279.6061096191406;78.15139770507812	right half	High	imported PDF	Private native Keynote PDF page 7; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF. The same composite PDF object contains both panels: a is left TCGA segmented regression; b is right Chornobyl linear regression. Author confirmed in this session that both panels came from one file and panel labels a/b were added manually in Keynote; this is intentional, not a mapping conflict.
ms033	Extended Data Fig. 1		Extended Data Fig. 1	Extended Data Figure 1	8	1298216	12845	TP_genomic_alterations2_final_tmp.pdf	TP_genomic_alterations2_final_tmp-12845.pdf	d97c6c6bc500c85c7e2ec22fa7590a24a5277bc66819b8b412838a5371fa0d05	98.835205078125;96.4713134765625;414.32958984375;258.9559631347656		;	entire imported object	High	imported PDF	Private native Keynote PDF page 8; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms034	Extended Data Fig. 2	a	Extended Data Fig. 2a	Extended Data Figure 2A	9	1300207	12560	tp_tumor_hetrogenerity_math_ccf_drivers.pdf	tp_tumor_hetrogenerity_math_ccf_drivers-12560.pdf	1fd461fa526c1593933da7b8ab9c0f6fcb20e2cb1ef439f52f0d5e20bb91ea94	112.22015380859375;77.35079956054688;408.5846252441406;255.3654327392578	1069887	81.77428436279297;89.60831451416016	entire imported object	High	imported PDF	Private native Keynote PDF page 9; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF. Extended Data Fig. 2 and Supplementary Fig. 3 reuse the same two embedded PDF data IDs and bytes in separate image objects.
ms035	Extended Data Fig. 2	b	Extended Data Fig. 2b	Extended Data Figure 2B	9	1324689	12567	tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	tp_tumor_hetrogenerity_math_ccf_drivers2-12567.pdf	404bf2a30d317b5bfd3d0da7eb074349e71d61bbc80c27b8749382fd30023329	96.62489318847656;345.6085205078125;471.4073486328125;342.84173583984375	1069898	81.77428436279297;360.0169372558594	entire imported object	High	imported PDF	Private native Keynote PDF page 9; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF. Extended Data Fig. 2 and Supplementary Fig. 3 reuse the same two embedded PDF data IDs and bytes in separate image objects.
ms036	Extended Data Fig. 3	a	Extended Data Fig. 3a	Extended Data Figure 3A	10	1323276	13133	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust.pdf	TCGA-EL-A3H3-01A-11D-A85S-36_DPClust-13133.pdf	088bfc0dd1b6139ca3fbfcb016f1340b06192cc65da76ae528ded4c624899181	85.84619140625;109.28717803955078;412.11773681640625;154.5441436767578	1323557	74.60686492919922;91.1375961303711	entire imported object	High	imported PDF	Private native Keynote PDF page 10; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms037	Extended Data Fig. 3	b	Extended Data Fig. 3b	Extended Data Figure 3B	10	1322936	13123	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust.pdf	TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust-13123.pdf	b5d12338151934793fd6fce39ab641275d0388133358e160c00418b42ab60440	85.84619140625;331.9366455078125;412.11773681640625;154.5441436767578	1323559	74.60686492919922;297.42437744140625	entire imported object	High	imported PDF	Private native Keynote PDF page 10; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms038	Extended Data Fig. 4	a	Extended Data Fig. 4a	Extended Data Figure 4A	11	1327078	12654	TP_mrca_group_braf_tert.pdf	TP_mrca_group_braf_tert-12654.pdf	0683e2af1b88e4e09e395dfeff26080871ba09bb4d96e190035393e4f1da5b3a	91.2845458984375;110.38246154785156;201.9415740966797;201.9415740966797	1347193	68.11053466796875;88.07384490966797	entire imported object	High	imported PDF	Private native Keynote PDF page 11; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms039	Extended Data Fig. 4	b	Extended Data Fig. 4b	Extended Data Figure 4B	11	1327077	12671	age_tert_braf.pdf	age_tert_braf-12671.pdf	9603ef2dcf92a23aff1ad2ce2970ebd0f5c871eb82f9711a6185018ce9a9cd91	292.0829772949219;108.0404052734375;206.6256866455078;206.6256866455078	1347196	283.50018310546875;88.07384490966797	entire imported object	High	imported PDF	Private native Keynote PDF page 11; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms040	Extended Data Fig. 4	c	Extended Data Fig. 4c	Extended Data Figure 4C	11	1327076	12662	tp_apobec_braf_tert.pdf	tp_apobec_braf_tert-12662.pdf	9fbbd2f9084db5539420490843532afeee9072d0b0c3f3b14fc90eed6561b708	84.64168548583984;364.90167236328125;201.9415740966797;201.9415740966797	1347191	68.11053466796875;360.43585205078125	entire imported object	High	imported PDF	Private native Keynote PDF page 11; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms041	Supplementary Fig. 1	a	Supplementary Fig. 1a	Supplementary Figure 1A	12	1300928	12889	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA.pdf	TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA-12889.pdf	3bf1f7b7920d43124514546e822f6cc18f55369b121cd579745851bcf0dbd4bf	152.8299102783203;59.458984375;312.8825988769531;223.48756408691406	878716	123.16348266601562;74.44683074951172	entire imported object	High	imported PDF	Private native Keynote PDF page 12; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms042	Supplementary Fig. 1	b	Supplementary Fig. 1b	Supplementary Figure 1B	12	1301817	12899	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA.pdf	TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA-12899.pdf	076fe8be64fd2b013abb3dc2b9dca0340d548f2768a6efcb594577d7a9e96daa	149.64134216308594;297.29400634765625;319.2597351074219;228.0426788330078	878749	123.16348266601562;309.7886962890625	entire imported object	High	imported PDF	Private native Keynote PDF page 12; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
